title,grade,ccode,division,description,filename
Director I - Health Services,42,A178,Student Services,Licensed Administrator,SS/A178.pdf
Coordinator IV - Student Services Instructional Coordinator,41,A175,Student Services,Licensed Administrator,SS/A175.pdf
Coordinator IV - Occupational And Physical Therapy Services,41,A342,Student Services,Licensed Administrator,SSSD/A342.pdf
Director I - Psychological Services,41,A181,Student Services,Licensed Administrator,SS/A181.pdf
Director I - Crisis Response Team,42,A710,Student Services,Licensed Administrator,SS/A710.pdf
Director I - Speech-Language Therapy and Audiology Services,42,A189,Student Services,Licensed Administrator,SS/A189.pdf
Coordinator IV - Title I Program Services,41,A347,Student Services,Licensed Administrator,SSSD/A347.pdf
Director I - Compliance And Monitoring,42,A352,Student Services,Professional-Technical,SSSD/A352.pdf
Director III - Early Childhood/Pre-Kindergarten Special Education and General Education,44,A396,Student Services,Licensed Administrator,SSSD/A396.pdf
Director II - Linking Instructional Needs and Key Supports (LINKS) Team,42,A337,Student Services,Licensed Administrator,SSSD/A337.pdf
Director III - Speech Language Therapy And Audiology Services,44,A209,Student Services,Licensed Administrator,SSSD/A209.pdf
Director II - English Language Learner Program,43,A208,English Language Learner,Licensed Administrator,ELL/A208.pdf
Director II - Equity And Diversity Education,43,A706,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A706.pdf
Director II - K-12 Special Education,43,A398,Student Services,Licensed Administrator,SS/A398.pdf
Director III - Related Services,44,A506,Student Services,Licensed Administrator,SSSD/A506.pdf
"Director II - School  Safety, Emergency Preparedness, and Crisis Management",43,A464,Office of the Chief of Staff,Professional-Technical,OCSER/A464.pdf
Director II - Special Education Programs And Projects,43,A340,Student Services,Licensed Administrator,SSSD/A340.pdf
Director II - Title I Services,43,A334,"College, Career, Equity, and School Choice",Licensed Administrator,CCESC/A334.pdf
"DIV - Executive Director, Instructional Support",45,A503,Student Services,Licensed Administrator,SSSD/A503.pdf
Director IV/Executive Director - Support Services,45,A504,Student Services,Licensed Administrator,SSSD/A504.pdf
Coordinator II - Communications Specialist,39,A523,Communications Unit,Professional-Technical,CMS/A523.pdf
Coordinator II - Instructional Design,39,A586,Nevada Learning Academy at CCSD,Professional-Technical,AARSI/A586.pdf
Coordinator III - Assessment - Data Analyst,40,A502,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A502.pdf
Director I - Student Information Systems,42,A540,Technology and Information Systems Services,Professional-Technical,TISS/A540.pdf
Coordinator III - Research,40,A463,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A463.pdf
Coordinator IV - Accountability,41,A490,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A490.pdf
Coordinator IV - Assessment And Accountability,41,A332,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A332.pdf
Director III - Assessment,44,A445,"Assessment, Accountability, Research, and School Improvement",Professional-Technical and/or Licensed Administrator,AARSI/A445.pdf
Coordinator I - Public Information Specialist - Media Relations,38,A534,Communications Unit,Professional-Technical,CE/A534.pdf
Coordinator III - Public Information And Media Manager,40,A724,Communications Unit,Professional-Technical,CGR/Coordinator_III_Public_Information_Media_Manager.pdf
"Coordinator III - Grant Writer, Vegas PBS",40,A608,Vegas PBS,Professional-Technical,VPBS/A608.pdf
Director IV - Educational Services and Business Development,44,A296,Vegas PBS,Professional-Technical,VPBS/A296.pdf
President and General Manager - Vegas PBS,49,A297,Operational Services Unit,Administrator,OS/A297.pdf
Coordinator III - Gift Manager,40,A479,Vegas PBS,Professional-Technical,VPBS/A479.pdf
Coordinator III - Educational TV Utilization,40,A246,Vegas PBS,Professional-Technical,VPBS/A246.pdf
Director II - Magnet Schools,43,A476,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A476.pdf
Assistant Superintendent - Curriculum and Instruction Division,47,A603,Academic Unit ,Licensed Administrator,AU/A603.pdf
Coordinator III - Career And Technical Education,40,A446,"College, Career, Equity, and School Choice ",Licensed Administrator,IDPL/A446.pdf
Coordinator III - Distance Education,40,A413,Curriculum and Instruction,Professional-Technical,
Coordinator IV - Elementary and Secondary Fine Arts,41,A145,Curriculum and Instruction,Licensed Administrator,IDPL/A145.pdf
Coordinator IV - World Language,41,A295,Curriculum and Instruction,Professional-Technical,CPD/A295.pdf
Coordinator III - K-8 Mathematics,40,A412,Curriculum and Instruction,Licensed Administrator,CPD/A412.pdf
Coordinator IV - Library Services,41,A148,Curriculum and Instruction,Licensed Administrator,IDPL/A148.pdf
Coordinator III - 6-12 Mathematics,40,A443,Curriculum and Instruction,Licensed Administrator,CI/A443.pdf
Coordinator IV - Science,41,A431,Curriculum and Instruction,Licensed Administrator,IDPL/A431.pdf
Coordinator III - Safe And Drug Free Schools,40,A447,Curriculum and Instruction,Professional-Technical,CPD/Coordinator_III_Safe_and_Drug_Free_Schools.pdf
Coordinator IV - Secondary Fine Arts,41,A350,Curriculum and Instruction,Professional-Technical,CI/A350.pdf
Coordinator IV - Social Studies,41,A167,Curriculum and Instruction,Licensed Administrator,IDPL/A167.pdf
Director I - Student Activities,42,A071,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A071.pdf
Coordinator IV - Guidance And Counseling Services,41,A572,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A572.pdf
Coordinator IV - Literacy and Language Development,41,A459,Curriculum and Instruction,Licensed Administrator,IDPL/A459.pdf
Director I - Secondary Athletics,42,A542,Education Services,Licensed Administrator,CCESC/A542.pdf
Director II - Guidance And Counseling,43,A045,"College, Career, Equity, and School Choice ",Professional-Technical and/or Licensed Administrator,CCESC/A045.pdf
Director II - K-12 Literacy,43,A324,Curriculum and Instruction,Licensed Administrator,CPD/A324.pdf
Director II - Mathematics,43,A737,Curriculum and Instruction,Licensed Administrator,CI/A737.pdf
"Director II - K-12 Science, Health, And Physical Education",43,A322,Curriculum and Instruction,Licensed Administrator,IDPL/A322.pdf
Director III - Instructional Support and Student Activities,44,A058,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A058.pdf
Chief Technology Officer,49,A345,Technology and Information Systems Services,Professional-Technical,TISS/A345.pdf
Coordinator IV - Information Systems Architecture And Special Projects,41,A526,Technology and Information Systems Services,Professional-Technical,TISS/A526.pdf
Director II - Central Information Systems,43,A284,Technology and Information Systems Services,Professional-Technical,TISS/A284.pdf
Director II - Technical Resources,43,A355,Technology and Information Systems Services,Professional-Technical,TISS/A355.pdf
Director IV - Technology Information Systems,45,A750,Technology and Information Systems Services,Professional-Technical,TISS/A750.pdf
Coordinator II - Technical Resources,39,A300,Technology and Information Systems Services,Professional-Technical,TISS/A300.pdf
Coordinator IV - Telecommunication Services,41,A712,Technology and Information Systems Services,Professional-Technical,TISS/A712.pdf
Director III - Networking Services,44,A362,Technology and Information Systems Services,Professional-Technical,TISS/A362.pdf
Director III - User Support Services,44,A364,Technology and Information Systems Services,Professional-Technical,TISS/A364.pdf
Coordinator III - Data Specialist,40,A507,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A507.pdf
Chief Of School Police,48,A371,Police Services,Police Officer,PS/A371.pdf
"Coordinator III - Administrative Assistant, Police Services",40,A566,Police Services,Professional-Technical,PS/A566.pdf
Police Captain,46,A527,Police Services,Police,PS/A527.pdf
Director I - Security/Fire/Life-Safety Systems,42,A576,Facilities Services,Professional-Technical,F/A576.pdf
Secondary Assistant Principal - Middle or High School,41,A066,Teaching and Learning,Licensed Administrator,TLU/A066.pdf
Assistant Principal - Elementary School,41,A052,Teaching and Learning,Licensed Administrator,TLU/A052.pdf
Deputy Superintendent,52,A800,Office of the Deputy Superintendent,Licensed Administrator,SP/A800.pdf
Coordinator IV - Employee Business Training,41,A501,Technology and Information Systems Services,Professional-Technical,TISS/A501.pdf
"Assistant Superintendent - Assessment, Accountability, Research, and School Improvement",47,A945,Academic Unit,Licensed Administrator,AU/A945.pdf
Coordinator II - Technology Projects And Training,39,A585,Technology and Information Systems Services,Professional-Technical,
Coordinator III - Educational Facility Planning,40,A715,Facilities Services,Professional-Technical,F/A715.pdf
Police Lieutenant,44,A528,Police Services,Police,PS/A528.pdf
Director I - Professional Learning Education,42,A915,Leadership and Professional Learning,Professional-Technical and/or Licensed,LPL/A915.pdf
"Principal - Elementary, Middle, or High School",41,A816,Teaching and Learning,Licensed Administrator,TLU/A816.pdf
Director I - Workforce Training and Economic Development,42,A890,Vegas PBS,Professional-Technical,
Coordinator IV - Special Education Services,41,A609,Student Services,Licensed Administrator,
Director I - Operational Risk,42,A920,Business and Finance,Professional-Technical,BFD/A920.pdf
Coordinator III - Birth to Pre-K Early Childhood Striving Readers Comprehensive Literacy Program ,40,A930,Facilities Services,Licensed Administrator,
Coordinator III - K-5 Literacy Striving Readers Comprehensive Literacy Program,40,A935,Curriculum and Instruction,Licensed Administrator,
Coordinator III - Secondary Literacy Striving Readers Comprehensive Literacy Program,40,A940,Curriculum and Instruction,Licensed Administrator,
Coordinator IV - Safe and Respectful Learning Environment,41,A925,Office of the Superintendent,Licensed Administrator,
Coordinator III - Administrative Assistant,40,A563,Instruction Unit,Licensed Administrator,
Coordinator IV - Employee Development: Career Ladder Focus,41,A950,Human Resources,Professional-Technical,
Coordinator III - Vegas PBS Workforce Training and Economic Development Online Services,40,A955,Vegas PBS,Professional-Technical,VPBS/A955.pdf
Director I - School and Department Recruitment,42,A512,Human Resources,Professional-Technical,
Coordinator III - Turnaround Zone,40,A965,Turnaround Zone - Instruction Unit,Licensed Administrator,
Director I - Academic Intervention and Professional Development,42,A960,Student Services,Licensed Administrator,
Coordinator III - School-community Partnership Program Community and Government Relations,40,A571,Office of the Superintendent,Professional-Technical,
"Director I - Data, Performance Management, And Project Facilitation",42,A970,Human Resources,Professional-Technical,HR/A970.pdf
Assistant Superintendent/School Associate Superintendent - English Language Learner Division ,47,A985,Academic Unit,Licensed Administrator,AU/A985.pdf
Academic Manager - Innovative Learning Environments,46,A855,Technology and Information Systems Services,Licensed Administrator,
Principal - Elementary School,41,A817,Instruction Unit,,
Principal - Middle School,42,A818,Instruction Unit,,
Principal - High School,45,A819,Instruction Unit,,
TURNAROUND ZONE PRINCIPAL SUNRISE MOUNTAIN HIGH SCHOOL,45,A995,Instruction Unit,,
TURNAROUND ZONE PRINCIPAL ELIZABETH WILHELM ELEMENTARY SCHOOL,43,A996,Instruction Unit,,
TURNAROUND ZONE PRINCIPAL CIMARRON-MEMORIAL HIGH SCHOOL,45,A997,Instruction Unit,,
Director IV - Instructional Business Process Expert,45,A990,Technology and Information Systems Services,Professional-Technical,TISS/A990.pdf
Coordinator III - Vegas PBS Marketing Manager,40,A975,Vegas PBS,Professional-Technical ,VPBS/A975.pdf
"Director III - Accountability, Research, and Data Services",44,A947,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A947.pdf
Director I - Unemployment Services Representative,42,A595,Office of the General Counsel,Professional-Technical,OGC/A595.pdf
Director II - Food Service School Operations,43,A743,Operational Services Unit,Professional-Technical,OSU/A743.pdf
Director I - Central Operations Food Service,42,A744,Operational Services Unit,Professional-Technical,OSU/A744.pdf
Director II - School and Department - Talent Acquisition Team (TAT) Support ,43,A119,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A119.pdf
Director III - Compensation,44,A879,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A879.pdf
Director I - Compliance and Building Operations,42,A881,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A881.pdf
Director II - Employee Contracts and Compensation,43,A883,Human Resources,Professional-Technical,HR/A883.pdf
Coordinator IV - New Teacher Induction: Professional Learning and Mentoring,41,A950,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A950.pdf
Coordinator III - Accelerated Licensure Teacher Academy (ALTA) Program Preservice Placements,40,A951,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A951.pdf
Director II - Employee Onboarding and Development,43,A972,Curriculum and Instruction,Professional-Technical and/or Licensed Administrator,CPD/A972.pdf
Coordinator IV - Assessment,41,A905,"Assessment, Accountability, Research, and School Improvement",Professional Technical,AARSI/A905.pdf
Coordinator IV - Data Services,41,A900,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A900.pdf
Assistant Superintendent - Education Services Division,47,A825,Education Services,Licensed Administrator,ESD/A825.pdf
Chief of Health and Student Services,49,A821,Teaching and Learning,Licensed Administrator,TLU/A821.pdf
Director II - Leadership: Aspiring Administrators and Assistant Principals,43,A596,Leadership and Professional Learning,Licensed Administrator,LPL/A596.pdf
Director II - Student Services,43,A865,Student Services,Licensed Administrator,SS/A865.pdf
Director II - Office of the Deputy Superintendent - Teaching and Learning,43,A640,Teaching and Learning,Licensed Administrator,TLU/A640.pdf
Coordinator IV - Digital Learning Technology,41,A491,Curriculum and Instruction,Licensed Administrator ,CI/A491.pdf
Coordinator III - Workforce Sales and Veterans Outreach,40,A956,Vegas PBS,Professional-Technical,VPBS/A956.pdf
Director II - K-12 Literacy & Talent Development,43,A642,Curriculum and Instruction,Licensed Administrator,IDPL/A642.pdf
Director II - K-12 Humanities,43,A643,Curriculum and Instruction,Licensed Administrator,IDPL/A643.pdf
Coordinator III - Public Information Manager,40,A722,Communications Unit,Professional-Technical,CGR/A722.pdf
Coordinator IV - Magnet Schools,41,A574,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A574.pdf
Director IV - Human Capital Management (HCM) Business Process Expert,45,A992,Technology and Information Systems Services,Professional-Technical,TISS/A992.pdf
Director IV - Facilities Management,45,A074,Facilities Services,Professional-Technical,F/A074.pdf
Coordinator IV - Innovative Programs/College and Career Readiness,41,A492,Curriculum and Instruction,Licensed Administrator,IDPL/A492.pdf
"Coordinator IV - Literacy and Language Development, Read by Grade 3",41,A493,Curriculum and Instruction,Licensed Administrator,IDPL/A493.pdf
"Director II - Fiscal Accountability, Program Analysis, and Professional Learning",43,A494,Curriculum and Instruction,Licensed Administrator,IDPL/A494.pdf
Coordinator III - Foster Care,40,A236,Education Services,Professional-Technical,ESD/A236.pdf
Director II - Family Engagement,43,A625,Engagement,Professional-Technical and/or Licensed Administrator,CE/A625.pdf
Special Assistant to the Superintendent - Liaison to the CCSD Board of Trustees,46,A030,Office of the Superintendent,Licensed Administrator,SP/A030.pdf
Coordinator III - K-12 Online Content Development,40,A473,Curriculum and Instruction,Licensed Administrator,CPD/A473.pdf
"Director II -  Vegas PBS Recruitment, SNPT Board, and Staff Resource Manager ",43,A801,Vegas PBS,Professional-Technical,VPBS/A801.pdf
School Associate Superintendent,48,B034,Teaching and Learning,Licensed Administrator,TLU/B034.pdf
Chief Operating Officer,50,A018,Operational Services Unit,Administrator,OS/A018.pdf
"Coordinator III - General Ledger	",40,A748,Business and Finance,Professional-Technical,BFD/A748.pdf
Coordinator III - Technology Integration Support,40,A897,Curriculum and Instruction,Licensed Administrator,IDPL/A897.pdf
Chief Academic Officer,49,A016,Academic Unit,Licensed Administrator,AU/A016.pdf
Coordinator IV - Title I Homeless Program - Community Liaison,41,A429,"Assessment, Accountability, Research, and School Improvement",Licensed Administrator,AARSI/A429.pdf
Coordinator III - Title I - Compliance Monitoring,40,A645,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A645.pdf
Coordinator I - Affirmative Action/ADA Programs,38,A004,Chief of Staff,Professional-Technical,COS/A004.pdf
Deputy Chief Human Resources Officer,48,A513,Human Resources,Licensed Administrator,HR/A513.pdf
Chief Human Resources Officer,50,A600,Human Resources,Administrator,HR/A600.pdf
"Coordinator III, Student Information System",40,A751,Technology and Information Systems Services,Professional-Technical,TISS/A751.pdf
Coordinator III - Ready to Learn,40,A245,Vegas PBS,Professional-Technical,VPBS/A245.pdf
Director II - Substitute Services,43,A122,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A122.pdf
Coordinator I - Athletics Accounting,38,A035,Curriculum and Instruction,Professional-Technical,CPD/A035.pdf
Coordinator III - Magnet Schools Assistance Program Project Coordinator,40,A034,Curriculum and Instruction,Licensed Administrator,CPD/A034.pdf
Coordinator III - Employee Performance Management,40,A084,Facilities Services,Professional-Technical,F/A084.pdf
Coordinator IV - Senior Internal Auditor,41,A498,Office of the Chief of Staff,Professional-Technical,OCS/A498.pdf
Director I - Marketing Department,42,B018,Communications Unit,Professional-Technical,CMS/B018.pdf
Director II - Special Projects & Inquiries/Investigations,43,A249,Office of the General Counsel,Professional-Technical,OGC/A249.pdf
Coordinator IV - Member Services,41,A875,Vegas PBS,Professional-Technical,VPBS/A875.pdf
Director II - Office of the Chief Operating Officer,43,A007,Operational Services Unit,Professional-Technical,OS/A007.pdf
Region Superintendent,49,B035,Teaching and Learning,Licensed Administrator,TLU/B035.pdf
Coordinator IV - Business Analyst,41,A536,Business and Finance,Professional-Technical,BFD/A536.pdf
Coordinator III - Government Relations,40,A219,Communications Unit,Professional-Technical,CMS/A219.pdf
Director IV – Compliance and Monitoring,45,A335,Student Services,Professional-Technical,SSSD/A335.pdf
"Coordinator IV - Health, Physical Education, and Driver Education",41,A895,Curriculum and Instruction,Licensed Administrator,CPD/A895.pdf
"Director II - Extended School Year, Alternative Instructional Arrangements, and Case Management",43,A168,Student Services,Licensed Administrator,SS/A168.pdf
Coordinator III -  Administrative Assistant,40,A085,Facilities Services,Professional-Technical,F/A085.pdf
Student Success Coordinator,40,A065,Teaching and Learning,Licensed Administrator,TLU/A065.pdf
Assistant General Counsel and Chief Negotiator,49,B040,Office of the Superintendent,Professional-Technical,ODS/B040.pdf
Chief Communications Officer,50,B045,Communications Unit,Administrator,CCR/B045.pdf
Coordinator IV - Facilities Asset Management,41,A096,Facilities Services,Professional-Technical,F/A096.pdf
"Coordinator III - Program Manager, Stay in School Mentoring Project",40,A635,Engagement,Professional-Technical,CE/A635.pdf
Coordinator IV - Time and Labor,41,A771,Business and Finance,Professional-Technical,BFD/A771.pdf
Coordinator III - Educational Technology Utilization and Project Management,40,A244,Vegas PBS,Professional-Technical,VPBS/A244.pdf
"Director IV - Sustainability, Energy, and Environmental Services",45,A075,Facilities Services,Professional-Technical,F/A075.pdf
Director II - Vegas PBS Major Gifts Development,43,A813,Vegas PBS,Professional-Technical,VPBS/A813.pdf
Director III - Community Engagement Services,44,B036,Engagement Unit ,Licensed Administrator,CSU/B036.pdf
Director II - Transportation - Compliance and Safety,43,A083,Operational Services Unit,Professional-Technical,OSU/A083.pdf
Director I - Middle School Athletics and Title IX Compliance,42,A543,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A543.pdf
Coordinator IV - Accounting Business Manager,41,A772,Business and Finance,Professional Technical,BFD/A772.pdf
Director II - Employee-Management Relations,43,A582,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A582.pdf
Coordinator IV - Deaf and Hard of Hearing,41,B051,Student Services,Licensed Administrator,SSSD/B051.pdf
Coordinator IV - Administrative Services,41,B060,Human Resources,Professional-Technical,HR/B060.pdf
Coordinator IV - Emergency Management,41,A274,Police Service,Professional-Technical,PS/A274.pdf
Coordinator II - Indian Education Opportunities Program,39,B065,Office of the Chief of Staff,Professional-Technical,OCS/B065.pdf
Director I - School Improvement,42,B070,"Assessment, Accountability Research, and School Improvement",Licensed Administrator,AARSI/B070.pdf
Coordinator IV - Student Information System,41,B080,Technology and Information Systems Services,Professional-Technical,TISS/B080.pdf
Design Team Member - Aspiring School Administrators Pool and Aspiring School Principal Pool,0,B100,Operations Support Unit,Licensed Administrator,LPL/B100.pdf
Aspiring School Administrators Pool,0,B101,Leadership and Professional Learning ,Licensed Administrator,LPL/B101.pdf
Aspiring School Principal Pool,0,B102,Leadership and Professional Learning ,Licensed Administrator,LPL/B102.pdf
Director II - Online and Blended Learning,43,A170,Curriculum and Instruction,Licensed Administrator,CPD/A170.pdf
Coordinator III - Professional Growth System,40,B071,Human Resources,Professional-technical and/or Licensed Administrator,HR/B071.pdf
